,Health Facility Name,Address,Landmark,Locality,Pincode,latitude,longitude,Facility Type,State_Name,\N,Taluka_Name,Block_Name
0,DMO satara,Old civil hospital,satara,satara,415002.0,17.6861,74.0023,Sub-District Hospital,Maharashtra,Satara,Satara,Satara
1,Bavdhan,1861,,Bavdhan,412804.0,17.912975,73.896105,Primary Health Centre,Maharashtra,Satara,Wai,Wai
2,Shivajinagar,,,Shivajinagar,412802.0,18.089509,74.050287,SubCentre,Maharashtra,Satara,Khandala,Khandala
3,Shere,,,Shere,415108.0,17.2082,74.2228,SubCentre,Maharashtra,Satara,Karad,Karad
4,Maldan,\N,,Maldan,415112.0,17.244661,73.970618,SubCentre,Maharashtra,Satara,Patan,Patan
5,Ghogaon,,,Ghogaon,415111.0,17.1407,74.056,SubCentre,Maharashtra,Satara,Karad,Karad
6,Kenjal,208,,Kenjal,415536.0,17.9684,73.9658,SubCentre,Maharashtra,Satara,Wai,Wai
7,Umarkanchan,\N,,Umarkanchan,415112.0,17.216478,73.910608,SubCentre,Maharashtra,Satara,Patan,Patan
8,Rajale,250,,Rajale,415523.0,18.02353,74.536184,SubCentre,Maharashtra,Satara,Phaltan,Phaltan
9,Bhade,,,Bhade,415526.0,18.111752,74.097614,SubCentre,Maharashtra,Satara,Khandala,Khandala
10,Sadarbazar (Satara) Urban Health Centre,,,Sadar Bazar Satara,415002.0,17.694,74.0094,Urban Health Centre,Maharashtra,Satara,Satara,Satara
11,Sakharwadi,359,,Sakharwadi,415523.0,18.055065,74.340177,Primary Health Centre,Maharashtra,Satara,Phaltan,Phaltan
12,Malkapur,Sub Centre Malkapur,Near NH4 Highway,Malkapur,415539.0,17.2615,74.1734,SubCentre,Maharashtra,Satara,Karad,Karad
13,Dhavali,sub center dhavali,,village-dhavali,415013.0,17.6807,73.8156,SubCentre,Maharashtra,Satara,Satara,Satara
14,Kodoli,sub center kodoli,,village kodoli,415004.0,17.6694,74.0344,SubCentre,Maharashtra,Satara,Satara,Satara
15,Gulumb,929,,Gulumb,415536.0,17.996713,73.974069,SubCentre,Maharashtra,Satara,Wai,Wai
16,Naigaon,,,Naigaon,412801.0,18.108574,73.963823,SubCentre,Maharashtra,Satara,Khandala,Khandala
17,Lohare,6,,Lohae,412803.0,17.999261,73.906802,SubCentre,Maharashtra,Satara,Wai,Wai
18,Nanegaon Bk.,\N,,Nanegaon Bk.,415520.0,17.41637,73.991817,SubCentre,Maharashtra,Satara,Patan,Patan
